,country,year,sex,age,suicides_no,population,suicides/100k pop, gdp_for_year ($) ,gdp_per_capita ($),generation,Code,HDI
28,Albania,2007,male,25-34 years,9,172494,5.22,"10,701,011,897",3863,Generation X,ALB,0.72
29,Albania,2007,female,15-24 years,13,281080,4.63,"10,701,011,897",3863,Millenials,ALB,0.72
30,Albania,2007,male,15-24 years,13,288349,4.51,"10,701,011,897",3863,Millenials,ALB,0.72
31,Albania,2007,female,25-34 years,8,183629,4.36,"10,701,011,897",3863,Generation X,ALB,0.72
32,Albania,2007,female,55-74 years,9,221120,4.07,"10,701,011,897",3863,Silent,ALB,0.72
33,Albania,2007,female,35-54 years,14,391811,3.57,"10,701,011,897",3863,Boomers,ALB,0.72
34,Albania,2007,male,5-14 years,4,272497,1.47,"10,701,011,897",3863,Generation Z,ALB,0.72
35,Albania,2007,female,5-14 years,0,256808,0,"10,701,011,897",3863,Generation Z,ALB,0.72
36,Albania,2008,male,25-34 years,21,172855,12.15,"12,881,352,688",4672,Generation X,ALB,0.724
37,Albania,2008,male,35-54 years,37,377119,9.81,"12,881,352,688",4672,Boomers,ALB,0.724
38,Albania,2008,male,55-74 years,21,228672,9.18,"12,881,352,688",4672,Silent,ALB,0.724
39,Albania,2008,female,75+ years,5,59369,8.42,"12,881,352,688",4672,Silent,ALB,0.724
40,Albania,2008,female,15-24 years,20,276073,7.24,"12,881,352,688",4672,Millenials,ALB,0.724
41,Albania,2008,female,25-34 years,9,182663,4.93,"12,881,352,688",4672,Generation X,ALB,0.724
42,Albania,2008,female,35-54 years,19,393832,4.82,"12,881,352,688",4672,Boomers,ALB,0.724
43,Albania,2008,male,75+ years,2,44574,4.49,"12,881,352,688",4672,Silent,ALB,0.724
44,Albania,2008,male,15-24 years,11,286702,3.84,"12,881,352,688",4672,Millenials,ALB,0.724
45,Albania,2008,female,55-74 years,7,226448,3.09,"12,881,352,688",4672,Silent,ALB,0.724
46,Albania,2008,male,5-14 years,7,262464,2.67,"12,881,352,688",4672,Generation Z,ALB,0.724
47,Albania,2008,female,5-14 years,1,246288,0.41,"12,881,352,688",4672,Generation Z,ALB,0.724
48,Albania,2009,female,15-24 years,0,270003,0,"12,044,212,904",4387,Millenials,ALB,0.729
49,Albania,2009,female,25-34 years,0,182712,0,"12,044,212,904",4387,Generation X,ALB,0.729
50,Albania,2009,female,35-54 years,0,394286,0,"12,044,212,904",4387,Boomers,ALB,0.729
51,Albania,2009,female,5-14 years,0,236174,0,"12,044,212,904",4387,Generation Z,ALB,0.729
52,Albania,2009,female,55-74 years,0,233302,0,"12,044,212,904",4387,Silent,ALB,0.729
53,Albania,2009,female,75+ years,0,61582,0,"12,044,212,904",4387,Silent,ALB,0.729
54,Albania,2009,male,15-24 years,0,283448,0,"12,044,212,904",4387,Millenials,ALB,0.729
55,Albania,2009,male,25-34 years,0,174955,0,"12,044,212,904",4387,Generation X,ALB,0.729
56,Albania,2009,male,35-54 years,0,374365,0,"12,044,212,904",4387,Boomers,ALB,0.729
57,Albania,2009,male,5-14 years,0,253007,0,"12,044,212,904",4387,Generation Z,ALB,0.729
58,Albania,2009,male,55-74 years,0,234570,0,"12,044,212,904",4387,Silent,ALB,0.729
59,Albania,2009,male,75+ years,0,47331,0,"12,044,212,904",4387,Silent,ALB,0.729
60,Albania,2010,male,55-74 years,20,241852,8.27,"11,926,953,259",4359,Silent,ALB,0.741
61,Albania,2010,male,35-54 years,20,371611,5.38,"11,926,953,259",4359,Generation X,ALB,0.741
62,Albania,2010,male,25-34 years,9,179720,5.01,"11,926,953,259",4359,Generation X,ALB,0.741
63,Albania,2010,male,75+ years,2,50767,3.94,"11,926,953,259",4359,Silent,ALB,0.741
64,Albania,2010,male,15-24 years,10,279508,3.58,"11,926,953,259",4359,Millenials,ALB,0.741
65,Albania,2010,female,25-34 years,6,183579,3.27,"11,926,953,259",4359,Generation X,ALB,0.741
66,Albania,2010,female,75+ years,2,64415,3.1,"11,926,953,259",4359,Silent,ALB,0.741
67,Albania,2010,female,35-54 years,12,394593,3.04,"11,926,953,259",4359,Generation X,ALB,0.741
68,Albania,2010,female,55-74 years,7,241491,2.9,"11,926,953,259",4359,Silent,ALB,0.741
69,Albania,2010,female,15-24 years,6,263581,2.28,"11,926,953,259",4359,Millenials,ALB,0.741
70,Albania,2010,female,5-14 years,2,223969,0.89,"11,926,953,259",4359,Generation Z,ALB,0.741
71,Albania,2010,male,5-14 years,0,240939,0,"11,926,953,259",4359,Generation Z,ALB,0.741
72,Antigua and Barbuda,2005,female,15-24 years,0,7780,0,"1,022,191,296",12649,Millenials,ATG,0.766
73,Antigua and Barbuda,2005,female,25-34 years,0,7327,0,"1,022,191,296",12649,Generation X,ATG,0.766
74,Antigua and Barbuda,2005,female,35-54 years,0,12835,0,"1,022,191,296",12649,Boomers,ATG,0.766
75,Antigua and Barbuda,2005,female,5-14 years,0,8584,0,"1,022,191,296",12649,Millenials,ATG,0.766
76,Antigua and Barbuda,2005,female,55-74 years,0,4157,0,"1,022,191,296",12649,Silent,ATG,0.766
77,Antigua and Barbuda,2005,female,75+ years,0,1575,0,"1,022,191,296",12649,Silent,ATG,0.766
78,Antigua and Barbuda,2005,male,15-24 years,0,7113,0,"1,022,191,296",12649,Millenials,ATG,0.766
79,Antigua and Barbuda,2005,male,25-34 years,0,6444,0,"1,022,191,296",12649,Generation X,ATG,0.766
80,Antigua and Barbuda,2005,male,35-54 years,0,11778,0,"1,022,191,296",12649,Boomers,ATG,0.766
81,Antigua and Barbuda,2005,male,5-14 years,0,8358,0,"1,022,191,296",12649,Millenials,ATG,0.766
82,Antigua and Barbuda,2005,male,55-74 years,0,3748,0,"1,022,191,296",12649,Silent,ATG,0.766
83,Antigua and Barbuda,2005,male,75+ years,0,1110,0,"1,022,191,296",12649,Silent,ATG,0.766
84,Antigua and Barbuda,2006,female,15-24 years,0,7902,0,"1,157,005,444",14114,Millenials,ATG,0.772
85,Antigua and Barbuda,2006,female,25-34 years,0,7098,0,"1,157,005,444",14114,Generation X,ATG,0.772
86,Antigua and Barbuda,2006,female,35-54 years,0,13374,0,"1,157,005,444",14114,Boomers,ATG,0.772
87,Antigua and Barbuda,2006,female,5-14 years,0,8571,0,"1,157,005,444",14114,Millenials,ATG,0.772
88,Antigua and Barbuda,2006,female,55-74 years,0,4256,0,"1,157,005,444",14114,Silent,ATG,0.772
89,Antigua and Barbuda,2006,female,75+ years,0,1573,0,"1,157,005,444",14114,Silent,ATG,0.772
90,Antigua and Barbuda,2006,male,15-24 years,0,7239,0,"1,157,005,444",14114,Millenials,ATG,0.772
91,Antigua and Barbuda,2006,male,25-34 years,0,6319,0,"1,157,005,444",14114,Generation X,ATG,0.772
92,Antigua and Barbuda,2006,male,35-54 years,0,12202,0,"1,157,005,444",14114,Boomers,ATG,0.772
93,Antigua and Barbuda,2006,male,5-14 years,0,8485,0,"1,157,005,444",14114,Millenials,ATG,0.772
94,Antigua and Barbuda,2006,male,55-74 years,0,3847,0,"1,157,005,444",14114,Silent,ATG,0.772
95,Antigua and Barbuda,2006,male,75+ years,0,1107,0,"1,157,005,444",14114,Silent,ATG,0.772
96,Antigua and Barbuda,2007,male,35-54 years,1,12530,7.98,"1,311,401,333",15775,Boomers,ATG,0.778
97,Antigua and Barbuda,2007,female,15-24 years,0,8013,0,"1,311,401,333",15775,Millenials,ATG,0.778
98,Antigua and Barbuda,2007,female,25-34 years,0,6962,0,"1,311,401,333",15775,Generation X,ATG,0.778
99,Antigua and Barbuda,2007,female,35-54 years,0,13860,0,"1,311,401,333",15775,Boomers,ATG,0.778
100,Antigua and Barbuda,2007,female,5-14 years,0,8555,0,"1,311,401,333",15775,Generation Z,ATG,0.778
101,Antigua and Barbuda,2007,female,55-74 years,0,4400,0,"1,311,401,333",15775,Silent,ATG,0.778
102,Antigua and Barbuda,2007,female,75+ years,0,1568,0,"1,311,401,333",15775,Silent,ATG,0.778
103,Antigua and Barbuda,2007,male,15-24 years,0,7330,0,"1,311,401,333",15775,Millenials,ATG,0.778
104,Antigua and Barbuda,2007,male,25-34 years,0,6267,0,"1,311,401,333",15775,Generation X,ATG,0.778
105,Antigua and Barbuda,2007,male,5-14 years,0,8564,0,"1,311,401,333",15775,Generation Z,ATG,0.778
106,Antigua and Barbuda,2007,male,55-74 years,0,3988,0,"1,311,401,333",15775,Silent,ATG,0.778
107,Antigua and Barbuda,2007,male,75+ years,0,1094,0,"1,311,401,333",15775,Silent,ATG,0.778
108,Antigua and Barbuda,2008,female,15-24 years,0,8108,0,"1,368,431,037",16238,Millenials,ATG,0.777
109,Antigua and Barbuda,2008,female,25-34 years,0,6910,0,"1,368,431,037",16238,Generation X,ATG,0.777
110,Antigua and Barbuda,2008,female,35-54 years,0,14278,0,"1,368,431,037",16238,Boomers,ATG,0.777
111,Antigua and Barbuda,2008,female,5-14 years,0,8537,0,"1,368,431,037",16238,Generation Z,ATG,0.777
112,Antigua and Barbuda,2008,female,55-74 years,0,4587,0,"1,368,431,037",16238,Silent,ATG,0.777
113,Antigua and Barbuda,2008,female,75+ years,0,1567,0,"1,368,431,037",16238,Silent,ATG,0.777
114,Antigua and Barbuda,2008,male,15-24 years,0,7404,0,"1,368,431,037",16238,Millenials,ATG,0.777
115,Antigua and Barbuda,2008,male,25-34 years,0,6274,0,"1,368,431,037",16238,Generation X,ATG,0.777
116,Antigua and Barbuda,2008,male,35-54 years,0,12782,0,"1,368,431,037",16238,Boomers,ATG,0.777
117,Antigua and Barbuda,2008,male,5-14 years,0,8599,0,"1,368,431,037",16238,Generation Z,ATG,0.777
118,Antigua and Barbuda,2008,male,55-74 years,0,4158,0,"1,368,431,037",16238,Silent,ATG,0.777
119,Antigua and Barbuda,2008,male,75+ years,0,1069,0,"1,368,431,037",16238,Silent,ATG,0.777
120,Antigua and Barbuda,2009,female,15-24 years,0,8199,0,"1,224,253,000",14335,Millenials,ATG,0.77
121,Antigua and Barbuda,2009,female,25-34 years,0,6917,0,"1,224,253,000",14335,Generation X,ATG,0.77
122,Antigua and Barbuda,2009,female,35-54 years,0,14629,0,"1,224,253,000",14335,Boomers,ATG,0.77
123,Antigua and Barbuda,2009,female,5-14 years,0,8514,0,"1,224,253,000",14335,Generation Z,ATG,0.77
124,Antigua and Barbuda,2009,female,55-74 years,0,4793,0,"1,224,253,000",14335,Silent,ATG,0.77
125,Antigua and Barbuda,2009,female,75+ years,0,1571,0,"1,224,253,000",14335,Silent,ATG,0.77
126,Antigua and Barbuda,2009,male,15-24 years,0,7489,0,"1,224,253,000",14335,Millenials,ATG,0.77
127,Antigua and Barbuda,2009,male,25-34 years,0,6325,0,"1,224,253,000",14335,Generation X,ATG,0.77
128,Antigua and Barbuda,2009,male,35-54 years,0,12978,0,"1,224,253,000",14335,Boomers,ATG,0.77
129,Antigua and Barbuda,2009,male,5-14 years,0,8599,0,"1,224,253,000",14335,Generation Z,ATG,0.77
130,Antigua and Barbuda,2009,male,55-74 years,0,4349,0,"1,224,253,000",14335,Silent,ATG,0.77
131,Antigua and Barbuda,2009,male,75+ years,0,1042,0,"1,224,253,000",14335,Silent,ATG,0.77
132,Antigua and Barbuda,2012,female,15-24 years,0,8435,0,"1,211,411,704",13657,Millenials,ATG,0.765
133,Antigua and Barbuda,2012,female,25-34 years,0,7215,0,"1,211,411,704",13657,Millenials,ATG,0.765
134,Antigua and Barbuda,2012,female,35-54 years,0,15193,0,"1,211,411,704",13657,Generation X,ATG,0.765
135,Antigua and Barbuda,2012,female,5-14 years,0,8401,0,"1,211,411,704",13657,Generation Z,ATG,0.765
136,Antigua and Barbuda,2012,female,55-74 years,0,5512,0,"1,211,411,704",13657,Boomers,ATG,0.765
137,Antigua and Barbuda,2012,female,75+ years,0,1625,0,"1,211,411,704",13657,Silent,ATG,0.765
138,Antigua and Barbuda,2012,male,15-24 years,0,7893,0,"1,211,411,704",13657,Millenials,ATG,0.765
139,Antigua and Barbuda,2012,male,25-34 years,0,6629,0,"1,211,411,704",13657,Millenials,ATG,0.765
140,Antigua and Barbuda,2012,male,35-54 years,0,13280,0,"1,211,411,704",13657,Generation X,ATG,0.765
141,Antigua and Barbuda,2012,male,5-14 years,0,8475,0,"1,211,411,704",13657,Generation Z,ATG,0.765
142,Antigua and Barbuda,2012,male,55-74 years,0,4994,0,"1,211,411,704",13657,Boomers,ATG,0.765
143,Antigua and Barbuda,2012,male,75+ years,0,1051,0,"1,211,411,704",13657,Silent,ATG,0.765
144,Antigua and Barbuda,2013,female,15-24 years,0,8494,0,"1,192,925,407",13287,Millenials,ATG,0.768
145,Antigua and Barbuda,2013,female,25-34 years,0,7397,0,"1,192,925,407",13287,Millenials,ATG,0.768
146,Antigua and Barbuda,2013,female,35-54 years,0,15236,0,"1,192,925,407",13287,Generation X,ATG,0.768
147,Antigua and Barbuda,2013,female,5-14 years,0,8353,0,"1,192,925,407",13287,Generation Z,ATG,0.768
148,Antigua and Barbuda,2013,female,55-74 years,0,5787,0,"1,192,925,407",13287,Boomers,ATG,0.768
149,Antigua and Barbuda,2013,female,75+ years,0,1652,0,"1,192,925,407",13287,Silent,ATG,0.768
150,Antigua and Barbuda,2013,male,15-24 years,0,8061,0,"1,192,925,407",13287,Millenials,ATG,0.768
151,Antigua and Barbuda,2013,male,25-34 years,0,6782,0,"1,192,925,407",13287,Millenials,ATG,0.768
152,Antigua and Barbuda,2013,male,35-54 years,0,13302,0,"1,192,925,407",13287,Generation X,ATG,0.768
153,Antigua and Barbuda,2013,male,5-14 years,0,8405,0,"1,192,925,407",13287,Generation Z,ATG,0.768
154,Antigua and Barbuda,2013,male,55-74 years,0,5238,0,"1,192,925,407",13287,Boomers,ATG,0.768
155,Antigua and Barbuda,2013,male,75+ years,0,1072,0,"1,192,925,407",13287,Silent,ATG,0.768
156,Antigua and Barbuda,2014,female,15-24 years,0,8537,0,"1,280,133,333",14093,Millenials,ATG,0.77
157,Antigua and Barbuda,2014,female,25-34 years,0,7578,0,"1,280,133,333",14093,Millenials,ATG,0.77
158,Antigua and Barbuda,2014,female,35-54 years,0,15273,0,"1,280,133,333",14093,Generation X,ATG,0.77
159,Antigua and Barbuda,2014,female,5-14 years,0,8296,0,"1,280,133,333",14093,Generation Z,ATG,0.77
160,Antigua and Barbuda,2014,female,55-74 years,0,6085,0,"1,280,133,333",14093,Boomers,ATG,0.77
161,Antigua and Barbuda,2014,female,75+ years,0,1686,0,"1,280,133,333",14093,Silent,ATG,0.77
162,Antigua and Barbuda,2014,male,15-24 years,0,8208,0,"1,280,133,333",14093,Millenials,ATG,0.77
163,Antigua and Barbuda,2014,male,25-34 years,0,6928,0,"1,280,133,333",14093,Millenials,ATG,0.77
164,Antigua and Barbuda,2014,male,35-54 years,0,13325,0,"1,280,133,333",14093,Generation X,ATG,0.77
165,Antigua and Barbuda,2014,male,5-14 years,0,8335,0,"1,280,133,333",14093,Generation Z,ATG,0.77
166,Antigua and Barbuda,2014,male,55-74 years,0,5503,0,"1,280,133,333",14093,Boomers,ATG,0.77
167,Antigua and Barbuda,2014,male,75+ years,0,1083,0,"1,280,133,333",14093,Silent,ATG,0.77
168,Antigua and Barbuda,2015,female,55-74 years,1,6403,15.62,"1,364,863,037",14853,Boomers,ATG,0.775
169,Antigua and Barbuda,2015,female,15-24 years,0,8561,0,"1,364,863,037",14853,Millenials,ATG,0.775
170,Antigua and Barbuda,2015,female,25-34 years,0,7740,0,"1,364,863,037",14853,Millenials,ATG,0.775
171,Antigua and Barbuda,2015,female,35-54 years,0,15323,0,"1,364,863,037",14853,Generation X,ATG,0.775
172,Antigua and Barbuda,2015,female,5-14 years,0,8239,0,"1,364,863,037",14853,Generation Z,ATG,0.775
173,Antigua and Barbuda,2015,female,75+ years,0,1724,0,"1,364,863,037",14853,Silent,ATG,0.775
174,Antigua and Barbuda,2015,male,15-24 years,0,8331,0,"1,364,863,037",14853,Millenials,ATG,0.775
175,Antigua and Barbuda,2015,male,25-34 years,0,7059,0,"1,364,863,037",14853,Millenials,ATG,0.775
176,Antigua and Barbuda,2015,male,35-54 years,0,13370,0,"1,364,863,037",14853,Generation X,ATG,0.775
177,Antigua and Barbuda,2015,male,5-14 years,0,8268,0,"1,364,863,037",14853,Generation Z,ATG,0.775
178,Antigua and Barbuda,2015,male,55-74 years,0,5784,0,"1,364,863,037",14853,Boomers,ATG,0.775
179,Antigua and Barbuda,2015,male,75+ years,0,1087,0,"1,364,863,037",14853,Silent,ATG,0.775
180,Argentina,2005,male,75+ years,225,601176,37.43,"198,737,095,012",5590,Silent,ARG,0.782
181,Argentina,2005,male,55-74 years,489,2505136,19.52,"198,737,095,012",5590,Silent,ARG,0.782
182,Argentina,2005,male,15-24 years,638,3343414,19.08,"198,737,095,012",5590,Millenials,ARG,0.782
183,Argentina,2005,male,25-34 years,451,3004991,15.01,"198,737,095,012",5590,Generation X,ARG,0.782
184,Argentina,2005,male,35-54 years,539,4336453,12.43,"198,737,095,012",5590,Boomers,ARG,0.782
185,Argentina,2005,female,55-74 years,161,2943135,5.47,"198,737,095,012",5590,Silent,ARG,0.782
186,Argentina,2005,female,75+ years,59,1101024,5.36,"198,737,095,012",5590,Silent,ARG,0.782
187,Argentina,2005,female,15-24 years,148,3260468,4.54,"198,737,095,012",5590,Millenials,ARG,0.782
188,Argentina,2005,female,35-54 years,171,4500787,3.8,"198,737,095,012",5590,Boomers,ARG,0.782
189,Argentina,2005,female,25-34 years,104,3011376,3.45,"198,737,095,012",5590,Generation X,ARG,0.782
190,Argentina,2005,male,5-14 years,52,3528848,1.47,"198,737,095,012",5590,Millenials,ARG,0.782
191,Argentina,2005,female,5-14 years,21,3413809,0.62,"198,737,095,012",5590,Millenials,ARG,0.782
192,Argentina,2006,male,75+ years,246,620010,39.68,"232,557,260,817",6475,Silent,ARG,0.787
193,Argentina,2006,male,15-24 years,656,3357424,19.54,"232,557,260,817",6475,Millenials,ARG,0.787
194,Argentina,2006,male,55-74 years,487,2540712,19.17,"232,557,260,817",6475,Silent,ARG,0.787
195,Argentina,2006,male,25-34 years,483,3068991,15.74,"232,557,260,817",6475,Generation X,ARG,0.787
196,Argentina,2006,male,35-54 years,585,4383730,13.34,"232,557,260,817",6475,Boomers,ARG,0.787
197,Argentina,2006,female,15-24 years,175,3271703,5.35,"232,557,260,817",6475,Millenials,ARG,0.787
198,Argentina,2006,female,55-74 years,115,2983954,3.85,"232,557,260,817",6475,Silent,ARG,0.787
199,Argentina,2006,female,35-54 years,160,4549471,3.52,"232,557,260,817",6475,Boomers,ARG,0.787
200,Argentina,2006,female,25-34 years,105,3070419,3.42,"232,557,260,817",6475,Generation X,ARG,0.787
201,Argentina,2006,female,75+ years,31,1132977,2.74,"232,557,260,817",6475,Silent,ARG,0.787
202,Argentina,2006,male,5-14 years,39,3527369,1.11,"232,557,260,817",6475,Millenials,ARG,0.787
203,Argentina,2006,female,5-14 years,26,3412126,0.76,"232,557,260,817",6475,Millenials,ARG,0.787
204,Argentina,2007,male,75+ years,225,634995,35.43,"287,530,508,431",7918,Silent,ARG,0.792
205,Argentina,2007,male,15-24 years,577,3381171,17.07,"287,530,508,431",7918,Millenials,ARG,0.792
206,Argentina,2007,male,55-74 years,438,2582754,16.96,"287,530,508,431",7918,Silent,ARG,0.792
207,Argentina,2007,male,25-34 years,490,3125322,15.68,"287,530,508,431",7918,Generation X,ARG,0.792
208,Argentina,2007,male,35-54 years,571,4436541,12.87,"287,530,508,431",7918,Boomers,ARG,0.792
209,Argentina,2007,female,15-24 years,146,3292790,4.43,"287,530,508,431",7918,Millenials,ARG,0.792
210,Argentina,2007,female,25-34 years,126,3120162,4.04,"287,530,508,431",7918,Generation X,ARG,0.792
211,Argentina,2007,female,55-74 years,108,3033008,3.56,"287,530,508,431",7918,Silent,ARG,0.792
212,Argentina,2007,female,35-54 years,155,4601874,3.37,"287,530,508,431",7918,Boomers,ARG,0.792
213,Argentina,2007,female,75+ years,31,1161794,2.67,"287,530,508,431",7918,Silent,ARG,0.792
214,Argentina,2007,male,5-14 years,45,3530454,1.27,"287,530,508,431",7918,Generation Z,ARG,0.792
215,Argentina,2007,female,5-14 years,34,3414627,1,"287,530,508,431",7918,Generation Z,ARG,0.792
216,Argentina,2008,male,75+ years,208,646185,32.19,"361,558,037,110",9843,Silent,ARG,0.795
217,Argentina,2008,male,15-24 years,625,3410092,18.33,"361,558,037,110",9843,Millenials,ARG,0.795
218,Argentina,2008,male,55-74 years,463,2630686,17.6,"361,558,037,110",9843,Silent,ARG,0.795
219,Argentina,2008,male,25-34 years,531,3172743,16.74,"361,558,037,110",9843,Generation X,ARG,0.795
220,Argentina,2008,male,35-54 years,582,4496672,12.94,"361,558,037,110",9843,Boomers,ARG,0.795
221,Argentina,2008,female,15-24 years,180,3319037,5.42,"361,558,037,110",9843,Millenials,ARG,0.795
222,Argentina,2008,female,35-54 years,173,4660022,3.71,"361,558,037,110",9843,Boomers,ARG,0.795
223,Argentina,2008,female,55-74 years,108,3088727,3.5,"361,558,037,110",9843,Silent,ARG,0.795
224,Argentina,2008,female,75+ years,36,1188016,3.03,"361,558,037,110",9843,Silent,ARG,0.795
225,Argentina,2008,female,25-34 years,94,3159967,2.97,"361,558,037,110",9843,Generation X,ARG,0.795
226,Argentina,2008,male,5-14 years,39,3539110,1.1,"361,558,037,110",9843,Generation Z,ARG,0.795
227,Argentina,2008,female,5-14 years,20,3422263,0.58,"361,558,037,110",9843,Generation Z,ARG,0.795
228,Argentina,2009,male,75+ years,177,653486,27.09,"332,976,484,578",8961,Silent,ARG,0.799
229,Argentina,2009,male,15-24 years,609,3436265,17.72,"332,976,484,578",8961,Millenials,ARG,0.799
230,Argentina,2009,male,55-74 years,434,2683502,16.17,"332,976,484,578",8961,Silent,ARG,0.799
231,Argentina,2009,male,25-34 years,504,3210244,15.7,"332,976,484,578",8961,Generation X,ARG,0.799
232,Argentina,2009,male,35-54 years,542,4566645,11.87,"332,976,484,578",8961,Boomers,ARG,0.799
233,Argentina,2009,female,15-24 years,164,3342385,4.91,"332,976,484,578",8961,Millenials,ARG,0.799
234,Argentina,2009,female,55-74 years,112,3148915,3.56,"332,976,484,578",8961,Silent,ARG,0.799
235,Argentina,2009,female,25-34 years,105,3189773,3.29,"332,976,484,578",8961,Generation X,ARG,0.799
236,Argentina,2009,female,35-54 years,150,4726814,3.17,"332,976,484,578",8961,Boomers,ARG,0.799
237,Argentina,2009,female,75+ years,25,1211934,2.06,"332,976,484,578",8961,Silent,ARG,0.799
238,Argentina,2009,male,5-14 years,34,3553154,0.96,"332,976,484,578",8961,Generation Z,ARG,0.799
239,Argentina,2009,female,5-14 years,28,3434884,0.82,"332,976,484,578",8961,Generation Z,ARG,0.799
240,Argentina,2010,male,75+ years,206,657096,31.35,"423,627,422,092",11273,Silent,ARG,0.813
241,Argentina,2010,male,15-24 years,683,3455127,19.77,"423,627,422,092",11273,Millenials,ARG,0.813
242,Argentina,2010,male,25-34 years,485,3237957,14.98,"423,627,422,092",11273,Generation X,ARG,0.813
243,Argentina,2010,male,55-74 years,397,2740656,14.49,"423,627,422,092",11273,Silent,ARG,0.813
244,Argentina,2010,male,35-54 years,573,4648068,12.33,"423,627,422,092",11273,Generation X,ARG,0.813
245,Argentina,2010,female,15-24 years,150,3358103,4.47,"423,627,422,092",11273,Millenials,ARG,0.813
246,Argentina,2010,female,35-54 years,162,4804030,3.37,"423,627,422,092",11273,Generation X,ARG,0.813
247,Argentina,2010,female,25-34 years,101,3210247,3.15,"423,627,422,092",11273,Generation X,ARG,0.813
248,Argentina,2010,female,55-74 years,99,3212253,3.08,"423,627,422,092",11273,Silent,ARG,0.813
249,Argentina,2010,female,75+ years,34,1234182,2.75,"423,627,422,092",11273,Silent,ARG,0.813
250,Argentina,2010,male,5-14 years,33,3570316,0.92,"423,627,422,092",11273,Generation Z,ARG,0.813
251,Argentina,2010,female,5-14 years,20,3450419,0.58,"423,627,422,092",11273,Generation Z,ARG,0.813
252,Argentina,2011,male,75+ years,178,674738,26.38,"530,163,281,575",13946,Silent,ARG,0.819
253,Argentina,2011,male,15-24 years,693,3471151,19.96,"530,163,281,575",13946,Millenials,ARG,0.819
254,Argentina,2011,male,25-34 years,510,3258804,15.65,"530,163,281,575",13946,Millenials,ARG,0.819
255,Argentina,2011,male,55-74 years,416,2788575,14.92,"530,163,281,575",13946,Boomers,ARG,0.819
256,Argentina,2011,male,35-54 years,504,4738525,10.64,"530,163,281,575",13946,Generation X,ARG,0.819
257,Argentina,2011,female,15-24 years,172,3372659,5.1,"530,163,281,575",13946,Millenials,ARG,0.819
258,Argentina,2011,female,35-54 years,157,4893085,3.21,"530,163,281,575",13946,Generation X,ARG,0.819
259,Argentina,2011,female,25-34 years,102,3224774,3.16,"530,163,281,575",13946,Millenials,ARG,0.819
260,Argentina,2011,female,55-74 years,93,3268753,2.85,"530,163,281,575",13946,Boomers,ARG,0.819
