,country,year,age,Average_suicides_per_capita
11553,Slovenia,2000-01-01,75+ years,73.745
952,Austria,1994-01-01,75+ years,73.725
11013,Serbia,2002-01-01,75+ years,73.52
5771,Hungary,2005-01-01,75+ years,73.515
11955,Sri Lanka,1985-01-01,75+ years,73.46
2283,Bulgaria,1986-01-01,75+ years,73.41499999999999
7413,Latvia,1997-01-01,75+ years,73.395
5759,Hungary,2003-01-01,75+ years,73.245
8532,Montenegro,2009-01-01,75+ years,73.07
7560,Lithuania,2001-01-01,35-54 years,72.96000000000001
4179,Estonia,1995-01-01,35-54 years,72.96
3553,Czech Republic,1990-01-01,75+ years,72.92999999999999
11037,Serbia,2006-01-01,75+ years,72.33
7401,Latvia,1995-01-01,75+ years,72.285
940,Austria,1992-01-01,75+ years,72.235
2313,Bulgaria,1991-01-01,75+ years,72.205
11031,Serbia,2005-01-01,75+ years,72.14
11259,Singapore,1994-01-01,75+ years,72.03
3350,Cuba,1997-01-01,75+ years,71.965
11961,Sri Lanka,1986-01-01,75+ years,71.91499999999999
11235,Singapore,1990-01-01,75+ years,71.905
7526,Lithuania,1995-01-01,55-74 years,71.615
7544,Lithuania,1998-01-01,55-74 years,71.61
11571,Slovenia,2003-01-01,75+ years,71.54
11950,Sri Lanka,1985-01-01,15-24 years,71.33500000000001
4560,France,1987-01-01,75+ years,71.16
10503,Russian Federation,1994-01-01,75+ years,71.155
7556,Lithuania,2000-01-01,55-74 years,71.15
4185,Estonia,1996-01-01,35-54 years,71.02000000000001
11529,Slovenia,1996-01-01,75+ years,70.85
11535,Slovenia,1997-01-01,75+ years,70.655
916,Austria,1988-01-01,75+ years,70.645
7563,Lithuania,2001-01-01,75+ years,70.64
4194,Estonia,1997-01-01,75+ years,70.58
904,Austria,1986-01-01,75+ years,70.425
3344,Cuba,1996-01-01,75+ years,70.235
2337,Bulgaria,1995-01-01,75+ years,70.175
11271,Singapore,1996-01-01,75+ years,69.78999999999999
3231,Croatia,2002-01-01,75+ years,69.63
5789,Hungary,2008-01-01,75+ years,69.435
10473,Russian Federation,1989-01-01,75+ years,69.32
3219,Croatia,2000-01-01,75+ years,69.315
12021,Suriname,1985-01-01,75+ years,69.265
7562,Lithuania,2001-01-01,55-74 years,69.065
6693,Japan,1986-01-01,75+ years,68.92
7730,Luxembourg,1997-01-01,75+ years,68.82000000000001
3207,Croatia,1998-01-01,75+ years,68.8
7572,Lithuania,2003-01-01,35-54 years,68.79
11589,Slovenia,2006-01-01,75+ years,68.785
5783,Hungary,2007-01-01,75+ years,68.465
2349,Bulgaria,1997-01-01,75+ years,68.31
7400,Latvia,1995-01-01,55-74 years,68.295
10497,Russian Federation,1993-01-01,75+ years,68.28
922,Austria,1989-01-01,75+ years,68.265
2307,Bulgaria,1990-01-01,75+ years,67.985
3571,Czech Republic,1993-01-01,75+ years,67.945
6897,Kazakhstan,1994-01-01,75+ years,67.85
3577,Czech Republic,1994-01-01,75+ years,67.235
4566,France,1988-01-01,75+ years,67.155
10500,Russian Federation,1994-01-01,35-54 years,66.74
11541,Slovenia,1998-01-01,75+ years,66.71
3565,Czech Republic,1992-01-01,75+ years,66.51
4572,France,1989-01-01,75+ years,66.47
2325,Bulgaria,1993-01-01,75+ years,66.37
3213,Croatia,1999-01-01,75+ years,66.185
3362,Cuba,1999-01-01,75+ years,66.105
7398,Latvia,1995-01-01,35-54 years,66.055
2367,Bulgaria,2000-01-01,75+ years,66.00999999999999
10479,Russian Federation,1990-01-01,75+ years,65.99000000000001
11523,Slovenia,1995-01-01,75+ years,65.97500000000001
3267,Croatia,2008-01-01,75+ years,65.885
4578,France,1990-01-01,75+ years,65.735
8526,Montenegro,2008-01-01,75+ years,65.735
10216,Republic of Korea,2001-01-01,75+ years,65.625
3189,Croatia,1995-01-01,75+ years,65.575
11565,Slovenia,2002-01-01,75+ years,65.34
11019,Serbia,2003-01-01,75+ years,65.33
1725,Belgium,1985-01-01,75+ years,65.275
4181,Estonia,1995-01-01,55-74 years,65.24
11583,Slovenia,2005-01-01,75+ years,65.205
1737,Belgium,1987-01-01,75+ years,65.065
7545,Lithuania,1998-01-01,75+ years,65.015
10521,Russian Federation,1997-01-01,75+ years,64.87
13705,Uruguay,2002-01-01,75+ years,64.84
898,Austria,1985-01-01,75+ years,64.765
4596,France,1993-01-01,75+ years,64.62
10506,Russian Federation,1995-01-01,35-54 years,64.56
6687,Japan,1985-01-01,75+ years,64.53999999999999
10509,Russian Federation,1995-01-01,75+ years,64.37
7425,Latvia,1999-01-01,75+ years,64.33
12018,Suriname,1985-01-01,35-54 years,64.265
7538,Lithuania,1997-01-01,55-74 years,64.265
10515,Russian Federation,1996-01-01,75+ years,64.185
7586,Lithuania,2005-01-01,55-74 years,64.13
7407,Latvia,1996-01-01,75+ years,64.11
10485,Russian Federation,1991-01-01,75+ years,63.99
3559,Czech Republic,1991-01-01,75+ years,63.8
4590,France,1992-01-01,75+ years,63.78
3195,Croatia,1996-01-01,75+ years,63.769999999999996
2361,Bulgaria,1999-01-01,75+ years,63.595
6705,Japan,1988-01-01,75+ years,63.54
7578,Lithuania,2004-01-01,35-54 years,63.504999999999995
11547,Slovenia,1999-01-01,75+ years,63.295
11025,Serbia,2004-01-01,75+ years,63.260000000000005
11067,Serbia,2011-01-01,75+ years,63.25
6699,Japan,1987-01-01,75+ years,63.074999999999996
7551,Lithuania,1999-01-01,75+ years,63.05
7406,Latvia,1996-01-01,55-74 years,62.935
3201,Croatia,1997-01-01,75+ years,62.915
5813,Hungary,2012-01-01,75+ years,62.489999999999995
4584,France,1991-01-01,75+ years,62.43
7568,Lithuania,2002-01-01,55-74 years,62.29
11055,Serbia,2009-01-01,75+ years,62.285000000000004
11956,Sri Lanka,1986-01-01,15-24 years,62.224999999999994
10502,Russian Federation,1994-01-01,55-74 years,62.205
13081,Ukraine,1994-01-01,75+ years,62.2
4191,Estonia,1997-01-01,35-54 years,62.115
970,Austria,1997-01-01,75+ years,62.07
11619,Slovenia,2011-01-01,75+ years,61.955000000000005
11979,Sri Lanka,1998-01-01,75+ years,61.894999999999996
1634,Belarus,1996-01-01,55-74 years,61.82000000000001
11595,Slovenia,2007-01-01,75+ years,61.815
5801,Hungary,2010-01-01,75+ years,61.705
7574,Lithuania,2003-01-01,55-74 years,61.61
7550,Lithuania,1999-01-01,55-74 years,61.489999999999995
10494,Russian Federation,1993-01-01,35-54 years,61.47
976,Austria,1998-01-01,75+ years,61.425
988,Austria,2000-01-01,75+ years,61.405
10491,Russian Federation,1992-01-01,75+ years,61.365
2379,Bulgaria,2002-01-01,75+ years,61.0
3273,Croatia,2009-01-01,75+ years,60.825
11241,Singapore,1991-01-01,75+ years,60.61
11043,Serbia,2007-01-01,75+ years,60.52
11991,Sri Lanka,2000-01-01,75+ years,60.275000000000006
1749,Belgium,1989-01-01,75+ years,60.235
7584,Lithuania,2005-01-01,35-54 years,60.209999999999994
10527,Russian Federation,1998-01-01,75+ years,60.135000000000005
11061,Serbia,2010-01-01,75+ years,60.055
6903,Kazakhstan,1995-01-01,75+ years,60.05
5692,Hungary,1992-01-01,55-74 years,59.959999999999994
4602,France,1994-01-01,75+ years,59.955
10512,Russian Federation,1996-01-01,35-54 years,59.864999999999995
7533,Lithuania,1996-01-01,75+ years,59.845
10508,Russian Federation,1995-01-01,55-74 years,59.78
6711,Japan,1989-01-01,75+ years,59.75
1632,Belarus,1996-01-01,35-54 years,59.715
1731,Belgium,1986-01-01,75+ years,59.705
1000,Austria,2002-01-01,75+ years,59.660000000000004
12440,Switzerland,2007-01-01,75+ years,59.595
5686,Hungary,1991-01-01,55-74 years,59.575
7404,Latvia,1996-01-01,35-54 years,59.56
3368,Cuba,2000-01-01,75+ years,59.535
11625,Slovenia,2012-01-01,75+ years,59.505
13075,Ukraine,1993-01-01,75+ years,59.48
11973,Sri Lanka,1997-01-01,75+ years,59.449999999999996
13087,Ukraine,1995-01-01,75+ years,59.394999999999996
10533,Russian Federation,1999-01-01,75+ years,59.345
4608,France,1995-01-01,75+ years,59.28
3237,Croatia,2003-01-01,75+ years,59.155
10557,Russian Federation,2003-01-01,75+ years,59.129999999999995
4199,Estonia,1998-01-01,55-74 years,59.08
10532,Russian Federation,1999-01-01,55-74 years,59.055
3583,Czech Republic,1995-01-01,75+ years,59.045
2373,Bulgaria,2001-01-01,75+ years,58.94500000000001
7575,Lithuania,2003-01-01,75+ years,58.91
7580,Lithuania,2004-01-01,55-74 years,58.89
4860,Germany,1990-01-01,75+ years,58.885000000000005
1773,Belgium,1993-01-01,75+ years,58.72
1779,Belgium,1994-01-01,75+ years,58.71
4866,Germany,1991-01-01,75+ years,58.7
1640,Belarus,1997-01-01,55-74 years,58.69
7449,Latvia,2003-01-01,75+ years,58.665
982,Austria,1999-01-01,75+ years,58.595
11631,Slovenia,2013-01-01,75+ years,58.565
4193,Estonia,1997-01-01,55-74 years,58.55
3225,Croatia,2001-01-01,75+ years,58.545
7412,Latvia,1997-01-01,55-74 years,58.535
4872,Germany,1992-01-01,75+ years,58.49
7473,Latvia,2007-01-01,75+ years,58.455
1646,Belarus,1998-01-01,55-74 years,58.365
7416,Latvia,1998-01-01,35-54 years,58.34
7658,Luxembourg,1985-01-01,75+ years,58.294999999999995
1947,Belize,1994-01-01,75+ years,58.22
11528,Slovenia,1996-01-01,55-74 years,58.2
11643,Slovenia,2015-01-01,75+ years,58.06
4212,Estonia,2000-01-01,75+ years,57.980000000000004
11277,Singapore,1997-01-01,75+ years,57.84
10496,Russian Federation,1993-01-01,55-74 years,57.72
1755,Belgium,1990-01-01,75+ years,57.675
5831,Hungary,2015-01-01,75+ years,57.66
11985,Sri Lanka,1999-01-01,75+ years,57.64
11073,Serbia,2012-01-01,75+ years,57.620000000000005
7569,Lithuania,2002-01-01,75+ years,57.62
10198,Republic of Korea,1998-01-01,75+ years,57.595
7641,Lithuania,2014-01-01,75+ years,57.58
5777,Hungary,2006-01-01,75+ years,57.49
10563,Russian Federation,2004-01-01,75+ years,57.480000000000004
3380,Cuba,2002-01-01,75+ years,57.255
11049,Serbia,2008-01-01,75+ years,57.14
10210,Republic of Korea,2000-01-01,75+ years,56.879999999999995
12410,Switzerland,2002-01-01,75+ years,56.835
10539,Russian Federation,2000-01-01,75+ years,56.81
1638,Belarus,1997-01-01,35-54 years,56.635
7712,Luxembourg,1994-01-01,75+ years,56.605000000000004
11951,Sri Lanka,1985-01-01,25-34 years,56.55
10514,Russian Federation,1996-01-01,55-74 years,56.480000000000004
7419,Latvia,1998-01-01,75+ years,56.47
5698,Hungary,1993-01-01,55-74 years,56.47
10520,Russian Federation,1997-01-01,55-74 years,56.455
10749,Saint Lucia,2002-01-01,75+ years,56.339999999999996
3589,Czech Republic,1996-01-01,75+ years,56.285000000000004
10530,Russian Federation,1999-01-01,35-54 years,56.26
5684,Hungary,1991-01-01,35-54 years,56.205
5690,Hungary,1992-01-01,35-54 years,56.155
12015,Sri Lanka,2006-01-01,75+ years,56.125
7652,Lithuania,2016-01-01,75+ years,56.005
13687,Uruguay,1999-01-01,75+ years,55.975
13051,Ukraine,1989-01-01,75+ years,55.885
10542,Russian Federation,2001-01-01,35-54 years,55.835
1006,Austria,2003-01-01,75+ years,55.835
7410,Latvia,1997-01-01,35-54 years,55.755
6717,Japan,1990-01-01,75+ years,55.745
1658,Belarus,2000-01-01,55-74 years,55.675
10536,Russian Federation,2000-01-01,35-54 years,55.675
10575,Russian Federation,2006-01-01,75+ years,55.65
7632,Lithuania,2013-01-01,35-54 years,55.620000000000005
1012,Austria,2004-01-01,75+ years,55.589999999999996
12428,Switzerland,2005-01-01,75+ years,55.485
1676,Belarus,2003-01-01,55-74 years,55.464999999999996
13093,Ukraine,1996-01-01,75+ years,55.46
1761,Belgium,1991-01-01,75+ years,55.45
7608,Lithuania,2009-01-01,35-54 years,55.37
11283,Singapore,1998-01-01,75+ years,55.335
10545,Russian Federation,2001-01-01,75+ years,55.325
10538,Russian Federation,2000-01-01,55-74 years,55.275000000000006
4197,Estonia,1998-01-01,35-54 years,55.22
1652,Belarus,1999-01-01,55-74 years,55.209999999999994
12404,Switzerland,2001-01-01,75+ years,55.19499999999999
7694,Luxembourg,1991-01-01,75+ years,55.155
1644,Belarus,1998-01-01,35-54 years,55.105000000000004
4230,Estonia,2003-01-01,75+ years,55.085
11247,Singapore,1992-01-01,75+ years,55.025
5836,Hungary,2016-01-01,75+ years,54.935
10269,Republic of Korea,2010-01-01,55-74 years,54.925000000000004
5716,Hungary,1996-01-01,55-74 years,54.755
6873,Kazakhstan,1990-01-01,75+ years,54.715
4878,Germany,1993-01-01,75+ years,54.64
1626,Belarus,1995-01-01,35-54 years,54.605000000000004
5704,Hungary,1994-01-01,55-74 years,54.53
5795,Hungary,2009-01-01,75+ years,54.49
12386,Switzerland,1998-01-01,75+ years,54.445
3249,Croatia,2005-01-01,75+ years,54.355
12422,Switzerland,2004-01-01,75+ years,54.345
10518,Russian Federation,1997-01-01,35-54 years,54.335
11085,Serbia,2014-01-01,75+ years,54.330000000000005
10569,Russian Federation,2005-01-01,75+ years,54.175000000000004
10551,Russian Federation,2002-01-01,75+ years,54.135000000000005
1695,Belarus,2009-01-01,75+ years,54.11
11957,Sri Lanka,1986-01-01,25-34 years,54.019999999999996
7557,Lithuania,2000-01-01,75+ years,54.005
10544,Russian Federation,2001-01-01,55-74 years,54.0
12446,Switzerland,2008-01-01,75+ years,53.980000000000004
11613,Slovenia,2010-01-01,75+ years,53.89
10239,Republic of Korea,2005-01-01,55-74 years,53.88
5807,Hungary,2011-01-01,75+ years,53.86
10233,Republic of Korea,2004-01-01,55-74 years,53.83
1743,Belgium,1988-01-01,75+ years,53.82
13099,Ukraine,1997-01-01,75+ years,53.795
3279,Croatia,2010-01-01,75+ years,53.72
4614,France,1996-01-01,75+ years,53.665
4620,France,1997-01-01,75+ years,53.66
7581,Lithuania,2004-01-01,75+ years,53.655
13663,Uruguay,1995-01-01,75+ years,53.635
12416,Switzerland,2003-01-01,75+ years,53.625
4890,Germany,1995-01-01,75+ years,53.6
10548,Russian Federation,2002-01-01,35-54 years,53.505
7539,Lithuania,1997-01-01,75+ years,53.49
3374,Cuba,2001-01-01,75+ years,53.44499999999999
994,Austria,2001-01-01,75+ years,53.44
10587,Russian Federation,2008-01-01,75+ years,53.43
10275,Republic of Korea,2011-01-01,55-74 years,53.415
5819,Hungary,2013-01-01,75+ years,53.34
10263,Republic of Korea,2009-01-01,55-74 years,53.24
12380,Switzerland,1997-01-01,75+ years,53.239999999999995
1656,Belarus,2000-01-01,35-54 years,53.19
1653,Belarus,1999-01-01,75+ years,53.13
12368,Switzerland,1995-01-01,75+ years,53.125
12398,Switzerland,2000-01-01,75+ years,53.11
10581,Russian Federation,2007-01-01,75+ years,53.065
13717,Uruguay,2004-01-01,75+ years,53.04
3255,Croatia,2006-01-01,75+ years,52.870000000000005
10550,Russian Federation,2002-01-01,55-74 years,52.82
10204,Republic of Korea,1999-01-01,75+ years,52.8
3261,Croatia,2007-01-01,75+ years,52.8
6920,Kazakhstan,1998-01-01,55-74 years,52.71
10499,Russian Federation,1994-01-01,25-34 years,52.685
6908,Kazakhstan,1996-01-01,55-74 years,52.669999999999995
12434,Switzerland,2006-01-01,75+ years,52.665
13693,Uruguay,2000-01-01,75+ years,52.660000000000004
11601,Slovenia,2008-01-01,75+ years,52.61
1767,Belgium,1992-01-01,75+ years,52.595
1620,Belarus,1994-01-01,35-54 years,52.54
7430,Latvia,2000-01-01,55-74 years,52.48
6906,Kazakhstan,1996-01-01,35-54 years,52.475
11121,Seychelles,2002-01-01,75+ years,52.465
4187,Estonia,1996-01-01,55-74 years,52.425
2385,Bulgaria,2003-01-01,75+ years,52.39
7700,Luxembourg,1992-01-01,75+ years,52.38
1664,Belarus,2001-01-01,55-74 years,52.35
7587,Lithuania,2005-01-01,75+ years,52.339999999999996
10526,Russian Federation,1998-01-01,55-74 years,52.335
5635,Guyana,2006-01-01,25-34 years,52.285000000000004
11091,Serbia,2015-01-01,75+ years,52.255
7844,Macau,1994-01-01,75+ years,52.175
4638,France,2000-01-01,75+ years,52.16
3386,Cuba,2003-01-01,75+ years,52.12
6914,Kazakhstan,1997-01-01,55-74 years,52.1
13681,Uruguay,1998-01-01,75+ years,52.075
13039,Ukraine,1987-01-01,75+ years,52.02
6921,Kazakhstan,1998-01-01,75+ years,51.985
7647,Lithuania,2015-01-01,75+ years,51.975
5696,Hungary,1993-01-01,35-54 years,51.875
13105,Ukraine,1998-01-01,75+ years,51.865
4218,Estonia,2001-01-01,75+ years,51.86
6879,Kazakhstan,1991-01-01,75+ years,51.86
12374,Switzerland,1996-01-01,75+ years,51.845
7602,Lithuania,2008-01-01,35-54 years,51.795
3607,Czech Republic,1999-01-01,75+ years,51.76
1647,Belarus,1998-01-01,75+ years,51.75
7611,Lithuania,2009-01-01,75+ years,51.7
7592,Lithuania,2006-01-01,55-74 years,51.7
13069,Ukraine,1992-01-01,75+ years,51.675
13092,Ukraine,1996-01-01,55-74 years,51.67
5702,Hungary,1994-01-01,35-54 years,51.67
7610,Lithuania,2009-01-01,55-74 years,51.635000000000005
1036,Austria,2008-01-01,75+ years,51.635
4884,Germany,1994-01-01,75+ years,51.62
12009,Sri Lanka,2003-01-01,75+ years,51.62
4224,Estonia,2002-01-01,75+ years,51.62
13098,Ukraine,1997-01-01,55-74 years,51.585
11552,Slovenia,2000-01-01,55-74 years,51.565
1674,Belarus,2003-01-01,35-54 years,51.495000000000005
7479,Latvia,2008-01-01,75+ years,51.485
6902,Kazakhstan,1995-01-01,55-74 years,51.485
1622,Belarus,1994-01-01,55-74 years,51.47
1628,Belarus,1995-01-01,55-74 years,51.47
13045,Ukraine,1988-01-01,75+ years,51.47
12183,Suriname,2014-01-01,75+ years,51.46
10505,Russian Federation,1995-01-01,25-34 years,51.41
7635,Lithuania,2013-01-01,75+ years,51.35
7856,Maldives,2001-01-01,75+ years,51.23
4626,France,1998-01-01,75+ years,51.225
5710,Hungary,1995-01-01,55-74 years,51.22
1797,Belgium,1997-01-01,75+ years,51.185
5663,Guyana,2010-01-01,75+ years,51.175
13104,Ukraine,1998-01-01,55-74 years,50.975
1677,Belarus,2003-01-01,75+ years,50.959999999999994
7605,Lithuania,2008-01-01,75+ years,50.940000000000005
3309,Croatia,2015-01-01,75+ years,50.93
5726,Hungary,1998-01-01,35-54 years,50.925000000000004
7424,Latvia,1999-01-01,55-74 years,50.87
6729,Japan,1992-01-01,75+ years,50.86
6723,Japan,1991-01-01,75+ years,50.855000000000004
4205,Estonia,1999-01-01,55-74 years,50.75
5740,Hungary,2000-01-01,55-74 years,50.75
11546,Slovenia,1999-01-01,55-74 years,50.685
4203,Estonia,1999-01-01,35-54 years,50.67
1066,Austria,2013-01-01,75+ years,50.665
5734,Hungary,1999-01-01,55-74 years,50.620000000000005
7593,Lithuania,2006-01-01,75+ years,50.57
6909,Kazakhstan,1996-01-01,75+ years,50.525
11079,Serbia,2013-01-01,75+ years,50.464999999999996
6912,Kazakhstan,1997-01-01,35-54 years,50.415000000000006
1668,Belarus,2002-01-01,35-54 years,50.415
7553,Lithuania,2000-01-01,25-34 years,50.370000000000005
3440,Cuba,2012-01-01,75+ years,50.365
10554,Russian Federation,2003-01-01,35-54 years,50.365
1659,Belarus,2000-01-01,75+ years,50.355000000000004
10524,Russian Federation,1998-01-01,35-54 years,50.325
3291,Croatia,2012-01-01,75+ years,50.28
3434,Cuba,2011-01-01,75+ years,50.27
3398,Cuba,2005-01-01,75+ years,50.245000000000005
3404,Cuba,2006-01-01,75+ years,50.230000000000004
5722,Hungary,1997-01-01,55-74 years,50.19
4392,Finland,1990-01-01,75+ years,50.14
13110,Ukraine,1999-01-01,55-74 years,49.949999999999996
7599,Lithuania,2007-01-01,75+ years,49.935
1785,Belgium,1995-01-01,75+ years,49.92
13116,Ukraine,2000-01-01,55-74 years,49.865
1662,Belarus,2001-01-01,35-54 years,49.86
11151,Seychelles,2007-01-01,75+ years,49.85
12392,Switzerland,1999-01-01,75+ years,49.82
3285,Croatia,2011-01-01,75+ years,49.76
6765,Japan,1998-01-01,75+ years,49.72
10511,Russian Federation,1996-01-01,25-34 years,49.715
10541,Russian Federation,2001-01-01,25-34 years,49.67
5732,Hungary,1999-01-01,35-54 years,49.614999999999995
7622,Lithuania,2011-01-01,55-74 years,49.565000000000005
7418,Latvia,1998-01-01,55-74 years,49.555
5660,Guyana,2010-01-01,35-54 years,49.51
11607,Slovenia,2009-01-01,75+ years,49.400000000000006
7455,Latvia,2004-01-01,75+ years,49.4
7422,Latvia,1999-01-01,35-54 years,49.34
11637,Slovenia,2014-01-01,75+ years,49.3
5714,Hungary,1996-01-01,35-54 years,49.295
6932,Kazakhstan,2000-01-01,55-74 years,49.25
7748,Luxembourg,2000-01-01,75+ years,49.25
12147,Suriname,2008-01-01,75+ years,49.235
7437,Latvia,2001-01-01,75+ years,49.22
5672,Guyana,2012-01-01,35-54 years,49.19
10556,Russian Federation,2003-01-01,55-74 years,49.16
1018,Austria,2005-01-01,75+ years,49.13
7614,Lithuania,2010-01-01,35-54 years,49.11
7436,Latvia,2001-01-01,55-74 years,49.095
1670,Belarus,2002-01-01,55-74 years,49.08
11522,Slovenia,1995-01-01,55-74 years,49.010000000000005
11540,Slovenia,1998-01-01,55-74 years,49.005
7571,Lithuania,2003-01-01,25-34 years,48.985
3714,Denmark,1994-01-01,75+ years,48.97
7428,Latvia,2000-01-01,35-54 years,48.964999999999996
4632,France,1999-01-01,75+ years,48.959999999999994
1614,Belarus,1993-01-01,35-54 years,48.92
7443,Latvia,2002-01-01,75+ years,48.86
3392,Cuba,2004-01-01,75+ years,48.845
7620,Lithuania,2011-01-01,35-54 years,48.785
13711,Uruguay,2003-01-01,75+ years,48.735
10227,Republic of Korea,2003-01-01,55-74 years,48.71
1024,Austria,2006-01-01,75+ years,48.705
1650,Belarus,1999-01-01,35-54 years,48.684999999999995
10488,Russian Federation,1992-01-01,35-54 years,48.68
7565,Lithuania,2002-01-01,25-34 years,48.67
10251,Republic of Korea,2007-01-01,55-74 years,48.629999999999995
5738,Hungary,2000-01-01,35-54 years,48.615
11534,Slovenia,1997-01-01,55-74 years,48.6
10245,Republic of Korea,2006-01-01,55-74 years,48.555
11558,Slovenia,2001-01-01,55-74 years,48.53
5608,Guyana,2001-01-01,55-74 years,48.519999999999996
10490,Russian Federation,1992-01-01,55-74 years,48.495
10535,Russian Federation,2000-01-01,25-34 years,48.48
6927,Kazakhstan,1999-01-01,75+ years,48.45
13063,Ukraine,1991-01-01,75+ years,48.445
10257,Republic of Korea,2008-01-01,55-74 years,48.349999999999994
10547,Russian Federation,2002-01-01,25-34 years,48.33
6930,Kazakhstan,2000-01-01,35-54 years,48.33
4386,Finland,1989-01-01,75+ years,48.324999999999996
6891,Kazakhstan,1993-01-01,75+ years,48.32
1689,Belarus,2008-01-01,75+ years,48.295
12027,Suriname,1986-01-01,75+ years,48.260000000000005
7623,Lithuania,2011-01-01,75+ years,48.255
7535,Lithuania,1997-01-01,25-34 years,48.24
13753,Uruguay,2010-01-01,75+ years,48.235
12165,Suriname,2011-01-01,75+ years,48.225
7616,Lithuania,2010-01-01,55-74 years,48.22
3631,Czech Republic,2003-01-01,75+ years,48.22
12153,Suriname,2009-01-01,75+ years,48.205
6900,Kazakhstan,1995-01-01,35-54 years,48.185
4254,Estonia,2007-01-01,75+ years,48.18000000000001
12141,Suriname,2007-01-01,75+ years,48.17
4896,Germany,1996-01-01,75+ years,48.15
